Felipe Moreira,felipe.moreira@outlook.com,password56,Professor,Música
Caio Lima,caio.lima@gmail.com,password57,Aluno,Design Gráfico
Cauã Monteiro,cauã.monteiro@gmail.com,password58,Professor,Escultura
Guilherme Costa,guilherme.costa@yahoo.com,password59,Aluno,Escrita Criativa
Isaac Moura,isaac.moura@icloud.com,password60,Professor,Escultura em Madeira
Yuri Azevedo,yuri.azevedo@icloud.com,password61,Aluno,Moda
Lucas Monteiro,lucas.monteiro@icloud.com,password62,Professor,Cinema de Animação
Eduardo Campos,eduardo.campos@icloud.com,password63,Professor,Artes Visuais
Cauã Farias,cauã.farias@hotmail.com,password64,Aluno,Pintura
Nicolas Moura,nicolas.moura@icloud.com,password65,Aluno,Escultura em Argila
Henrique Andrade,henrique.andrade@hotmail.com,password66,Aluno,Música Popular
Ian Ferreira,ian.ferreira@icloud.com,password67,Aluno,Teatro de Rua
Thiago Leite,thiago.leite@yahoo.com,password68,Aluno,Fotografia
Murilo Batista,murilo.batista@icloud.com,password69,Aluno,Arquitetura
Igor Monteiro,igor.monteiro@gmail.com,password70,Professor,Teatro
Vitor Batista,vitor.batista@icloud.com,password71,Professor,Teatro de Rua
Nathan Barbosa,nathan.barbosa@gmail.com,password72,Aluno,Literatura
Henrique Leite,henrique.leite@outlook.com,password73,Professor,Desenho
Bruno Ribeiro,bruno.ribeiro@uol.com.br,password74,Aluno,Teatro de Rua
Samuel Pinto,samuel.pinto@outlook.com,password75,Aluno,Moda
Alan Mendes,alan.mendes@gmail.com,password76,Professor,Dança Contemporânea
Kevin Rezende,kevin.rezende@icloud.com,password77,Professor,Teatro Musical
Diego Rezende,diego.rezende@hotmail.com,password78,Professor,Cinema
Wesley Almeida,wesley.almeida@icloud.com,password79,Professor,Escultura em Madeira
Ryan Batista,ryan.batista@yahoo.com,password80,Aluno,Dança Contemporânea
Antônio Duarte,antônio.duarte@uol.com.br,password81,Professor,Cinema
Joaquim Campos,joaquim.campos@icloud.com,password82,Aluno,Dança de Salão
Bernardo Vieira,bernardo.vieira@hotmail.com,password83,Professor,Música
Theo Castro,theo.castro@gmail.com,password84,Aluno,Escultura
Isaac Machado,isaac.machado@icloud.com,password85,Professor,Música Popular
Diego Cardoso,diego.cardoso@uol.com.br,password86,Aluno,Escultura
André Campos,andré.campos@hotmail.com,password87,Aluno,Artes Visuais
Carlos Pinto,carlos.pinto@outlook.com,password88,Aluno,Literatura
Rodrigo Carvalho,rodrigo.carvalho@yahoo.com,password89,Aluno,Literatura Infantojuvenil
Eduardo Mendes,eduardo.mendes@hotmail.com,password90,Aluno,Dança de Salão
Cauã Tavares,cauã.tavares@icloud.com,password91,Aluno,Pintura
Felipe Rocha,felipe.rocha@gmail.com,password92,Professor,Literatura
Nicolas Cardoso,nicolas.cardoso@gmail.com,password93,Aluno,Música Clássica
Isaac Coelho,isaac.coelho@uol.com.br,password94,Aluno,Design Gráfico
Alan Tavares,alan.tavares@uol.com.br,password95,Aluno,Dança de Salão
Eduardo Andrade,eduardo.andrade@gmail.com,password96,Aluno,Teatro Musical
Murilo Ribeiro,murilo.ribeiro@outlook.com,password97,Aluno,Música Clássica
Rodrigo Rodrigues,rodrigo.rodrigues@icloud.com,password98,Professor,Cinema Documentário
Pietro Borges,pietro.borges@icloud.com,password99,Professor,Escultura em Argila
Arthur Campos,arthur.campos@icloud.com,password100,Aluno,Teatro de Rua
